INSEE_COM;NOM_COM;IRIS;CODE_IRIS;NOM_IRIS;TYP_IRIS;ISIU_Area_IRIS_Km2;ISIU_Indice_1_PopLog_per_Km2_Normalise;ISIU_Indice_2_Volume_Batiment_Normalise;ISIU_Indice_3_Green_Space_Ratio_Normalise;ISIU_Indice_4_Shannon_Diversity_Normalise;ISIU_Indice_5_Transport_Roads_Ratio_Normalise;ISIU_Indice_6Normalise;Dimension_1_Humaine;Dimension_2_Qualite_Vie;Dimension_3_Accessibilite;ISIU_Globale_Normalise
13214;Marseille 14e Arrondissement;504;132140504;Busserine;H;0.156;0;0.052647864;0.129;0.94;0.008;0.154;0.052647864;1.069;0.162;0.576578603
13210;Marseille 10e Arrondissement;407;132100407;Grands Pins;H;0.172;0;0.048145131;0.005;0.65;0.011;0.103;0.048145131;0.655;0.114;0.360075314
13202;Marseille 2e Arrondissement;201;132020201;Montolieu;H;0.063;0.001;0.184195986;0;0.794;0.012;0.251;0.185195986;0.794;0.263;0.557340843
13203;Marseille 3e Arrondissement;203;132030203;Camille Pelletan;H;0.115;0.001;0.120973359;0.112;0.877;0.015;0.254;0.121973359;0.989;0.269;0.621283136
13208;Marseille 8e Arrondissement;103;132080103;Parc Borély;D;0.667;0;0.006410521;0.703;0.784;0.005;0.057;0.006410521;1.487;0.062;0.702703286
13208;Marseille 8e Arrondissement;101;132080101;Les Vagues;H;0.339;0;0.057735312;0.031;0.695;0.006;0.075;0.057735312;0.726;0.081;0.382161853
13202;Marseille 2e Arrondissement;302;132020302;Saint-Jean-Protis;H;0.126;0.001;0.129595548;0.121;0.91;0.019;0.207;0.130595548;1.031;0.226;0.624820583
13202;Marseille 2e Arrondissement;402;132020402;Albrand-Ponteves;H;0.028;0.002;0.296284887;0;0.639;0.011;0.203;0.298284887;0.639;0.214;0.515149124
13202;Marseille 2e Arrondissement;403;132020403;Forbin;H;0.061;0.001;0.227253397;0;0.653;0.01;0.225;0.228253397;0.653;0.235;0.498891057
13070;La Penne-sur-Huveaune;103;130700103;Centre et Nord;H;0.001;0.027;0.033252686;0;0.148;0.262;0.223;0.060252686;0.148;0.485;0.302576997
13212;Marseille 12e Arrondissement;402;132120402;Saint-Barnabé-Montaigne-Orangerie;H;0.308;0;0.063118293;0.014;0.785;0.006;0.149;0.063118293;0.799;0.155;0.452882589
13214;Marseille 14e Arrondissement;501;132140501;Les Flamants;H;0.072;0;0.059330022;0.033;0.767;0.01;0.16;0.059330022;0.8;0.17;0.458550036
13214;Marseille 14e Arrondissement;503;132140503;Centre Urbain;H;0.274;0;0.076052723;0.087;0.925;0.009;0.157;0.076052723;1.012;0.166;0.562843538
13088;Le Rove;0;130880000;Le Rove;Z;0.002;0.026;0;0;0.024;0.121;0.035;0.026;0.024;0.156;0.076443682
13075;Plan-de-Cuques;105;130750105;Nord;H;0.002;0.011;0;0;0.12;0.191;0.028;0.011;0.12;0.219;0.143273888
